14 16 23605 1469 20
12 12 43.231351
25 65 29.534369
32 54 30.174570
42 97 40.530673
71 86 45.100906
83 71 19.338780
52 2 7.456540
63 71 42.629736
35 97 28.743885
54 84 35.859195
85 90 16.654150
20 37 28.771125
87 86 7.659831
18 36 32.431308
0 13 20.526982 43.687764
0 2 47.279695 92.344646
1 9 33.042569 68.712517
1 4 25.169294 85.423854
2 11 32.889798 26.431008
2 10 29.743570 74.046528
2 3 45.571481 63.334175
4 12 24.617258 16.334479
4 5 44.276598 21.287796
5 6 35.584489 81.924808
7 12 49.252533 48.004211
7 11 42.263811 60.215544
7 9 33.667155 29.055725
8 12 8.536419 83.045895
8 10 35.782837 63.047206
10 12 0.736939 8.136401
