12 13 33311 511 20
63 85 2.761982
89 66 11.194219
57 26 38.551743
63 41 23.846156
42 11 1.306775
72 60 11.381890
19 21 46.542346
67 52 5.268635
21 55 16.866446
12 47 26.227539
8 53 32.802424
52 75 25.880059
0 11 31.153661 28.034522
0 10 39.932917 70.205485
0 8 24.481893 76.097291
1 11 5.252018 50.933950
1 8 30.569428 109.718457
1 5 23.110143 34.135877
1 4 46.202491 97.441363
1 3 28.183593 61.718248
2 4 44.855575 26.137784
3 7 14.369330 14.857371
6 10 2.019285 37.932088
7 9 7.356569 97.437189
9 10 34.757832 9.143847
