13 17 49731 1016 20
93 57 49.450818
41 71 14.737030
57 70 39.638361
91 58 9.012452
54 58 27.984436
38 57 25.521501
91 9 0.827770
79 51 43.906193
5 54 7.758241
16 79 25.139220
49 93 48.228715
37 14 43.918408
82 11 15.434102
0 12 25.929853 67.137859
0 5 15.054332 105.988105
0 3 43.009183 4.256242
0 2 35.440594 52.520962
0 1 26.509547 74.161342
1 10 7.416618 23.782854
1 3 41.818792 95.632624
3 7 29.247520 15.639560
3 6 24.278697 51.296419
4 9 17.080315 68.336265
4 7 37.710790 33.187667
5 7 39.438558 78.783389
6 12 38.970944 16.325704
7 10 13.677781 100.334218
8 9 41.115208 47.633686
9 10 8.174511 56.718309
11 12 25.464705 60.474496
